When,Type,Alberta,BritishColumbia,Canada,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan
09/01/1966,Total,783,1147,10134,216,120,75,127,3765,8,3549,344
10/01/1966,All Others,183,,,,,,,,,,
10/01/1966,Single Detached,731,,,,,,,,,,
10/01/1966,Total,914,1354,11310,293,118,102,220,4575,1,3372,361
11/01/1966,Total,942,1156,12316,573,109,303,137,4613,6,4110,367
11/01/1966,Single Detached,834,,,,,,,,,,
11/01/1966,All Others,66,,,,,,,,,,
12/01/1966,Single Detached,430,,,,,,,,,,
12/01/1966,All Others,243,,,,,,,,,,
12/01/1966,Total,673,795,8999,151,61,28,100,3029,1,3887,274
01/01/1967,Single Detached,199,,,,,,,,,,
01/01/1967,All Others,97,,,,,,,,,,
01/01/1967,Total,296,610,5482,77,34,16,93,2126,2,2100,128
02/01/1967,Total,179,850,3671,174,12,13,39,1402,0,935,67
02/01/1967,All Others,22,,,,,,,,,,
02/01/1967,Single Detached,157,,,,,,,,,,
03/01/1967,Single Detached,205,,,,,,,,,,
03/01/1967,Total,368,1057,5372,133,3,20,84,2271,0,1390,46
03/01/1967,All Others,163,,,,,,,,,,
04/01/1967,All Others,346,,,,,,,,,,
04/01/1967,Single Detached,306,,,,,,,,,,
04/01/1967,Total,652,1155,8220,156,61,201,54,4075,0,1718,148
05/01/1967,All Others,676,,,,,,,,,,
05/01/1967,Single Detached,704,,,,,,,,,,
05/01/1967,Total,1380,1682,16096,714,145,153,135,8213,3,3155,516
06/01/1967,All Others,641,,,,,,,,,,
06/01/1967,Total,1274,2105,17429,450,178,104,115,8054,2,4611,536
06/01/1967,Single Detached,633,,,,,,,,,,
07/01/1967,All Others,809,,,,,,,,,,
07/01/1967,Total,1320,1915,14965,339,114,150,284,6326,9,4028,480
07/01/1967,Single Detached,511,,,,,,,,,,
08/01/1967,Single Detached,442,,,,,,,,,,
08/01/1967,Total,1035,1800,13343,533,107,135,147,6128,4,2840,614
08/01/1967,All Others,593,,,,,,,,,,
09/01/1967,All Others,747,,,,,,,,,,
09/01/1967,Single Detached,351,,,,,,,,,,
09/01/1967,Total,1098,1905,13479,160,119,134,174,6622,7,2842,418
10/01/1967,All Others,682,,,,,,,,,,
10/01/1967,Total,1042,1891,13150,210,88,66,161,6209,5,2935,543
10/01/1967,Single Detached,360,,,,,,,,,,
11/01/1967,Single Detached,317,,,,,,,,,,
11/01/1967,Total,1024,1082,11890,339,136,82,77,4790,8,3868,484
11/01/1967,All Others,707,,,,,,,,,,
12/01/1967,Total,783,936,8761,283,85,265,115,3545,4,2644,101
12/01/1967,All Others,521,,,,,,,,,,
12/01/1967,Single Detached,262,,,,,,,,,,
01/01/1968,Single Detached,232,,,,,,,,,,
01/01/1968,Total,431,1108,7691,346,40,185,66,3491,2,1906,116
01/01/1968,All Others,199,,,,,,,,,,
02/01/1968,All Others,124,,,,,,,,,,
02/01/1968,Single Detached,334,,,,,,,,,,
02/01/1968,Total,458,1543,6591,303,29,32,41,1834,1,2253,97
03/01/1968,Single Detached,410,,,,,,,,,,
03/01/1968,Total,977,1422,8737,304,44,148,64,3384,0,2224,170
03/01/1968,All Others,567,,,,,,,,,,
04/01/1968,Single Detached,539,,,,,,,,,,
04/01/1968,All Others,562,,,,,,,,,,
04/01/1968,Total,1101,2066,11883,275,87,118,116,5211,0,2579,330
05/01/1968,Single Detached,694,,,,,,,,,,
05/01/1968,Total,1512,1631,16790,509,147,98,201,8578,20,3265,829
05/01/1968,All Others,818,,,,,,,,,,
06/01/1968,Total,2380,2135,18190,329,167,80,228,8102,5,4261,503
06/01/1968,All Others,1857,,,,,,,,,,
06/01/1968,Single Detached,523,,,,,,,,,,
07/01/1968,Single Detached,435,,,,,,,,,,
07/01/1968,Total,1443,1516,15317,690,177,106,193,7288,10,3461,433
07/01/1968,All Others,1008,,,,,,,,,,
08/01/1968,All Others,1427,,,,,,,,,,
08/01/1968,Single Detached,326,,,,,,,,,,
08/01/1968,Total,1753,1499,14471,415,257,74,232,6586,23,3187,445
09/01/1968,Total,1006,1393,11602,471,188,39,178,4581,2,3387,357
09/01/1968,Single Detached,301,,,,,,,,,,
09/01/1968,All Others,705,,,,,,,,,,
10/01/1968,Single Detached,489,,,,,,,,,,
10/01/1968,Total,2651,1508,16843,261,192,94,163,7162,4,4401,407
10/01/1968,All Others,2162,,,,,,,,,,
11/01/1968,Single Detached,771,,,,,,,,,,
11/01/1968,Total,1932,2588,19057,655,374,98,298,6990,8,5519,595
11/01/1968,All Others,1161,,,,,,,,,,
12/01/1968,All Others,1120,,,,,,,,,,
12/01/1968,Total,1673,1034,15095,597,119,113,187,6118,6,4924,324
12/01/1968,Single Detached,553,,,,,,,,,,
01/01/1969,Single Detached,527,,,,,,,,,,
01/01/1969,Total,1597,1264,11304,591,65,74,232,4183,3,2865,430
01/01/1969,All Others,1070,,,,,,,,,,
02/01/1969,Single Detached,408,,,,,,,,,,
02/01/1969,All Others,816,,,,,,,,,,
02/01/1969,Total,1224,1814,10974,393,25,175,171,4635,0,2477,60
03/01/1969,Total,1187,2058,11679,829,39,100,228,4769,0,2310,159
03/01/1969,All Others,516,,,,,,,,,,
03/01/1969,Single Detached,671,,,,,,,,,,
04/01/1969,All Others,1847,,,,,,,,,,
04/01/1969,Single Detached,627,,,,,,,,,,
04/01/1969,Total,2474,2681,15542,978,347,48,647,5443,29,2670,225
05/01/1969,All Others,978,,,,,,,,,,
05/01/1969,Single Detached,527,,,,,,,,,,
05/01/1969,Total,1505,2724,16814,1713,209,42,309,6399,17,3319,577
06/01/1969,Single Detached,673,,,,,,,,,,
06/01/1969,Total,2680,2240,18787,559,234,63,300,8117,7,3802,785
06/01/1969,All Others,2007,,,,,,,,,,
07/01/1969,Single Detached,432,,,,,,,,,,
07/01/1969,Total,1682,2148,15057,848,166,60,619,6729,35,2428,342
07/01/1969,All Others,1250,,,,,,,,,,
08/01/1969,Total,1764,2328,16227,982,126,33,670,6773,6,2986,559
08/01/1969,All Others,1348,,,,,,,,,,
08/01/1969,Single Detached,416,,,,,,,,,,
09/01/1969,All Others,1148,,,,,,,,,,
09/01/1969,Total,1502,1836,13944,822,148,60,202,6238,20,2955,161
09/01/1969,Single Detached,354,,,,,,,,,,
10/01/1969,Total,1610,1246,15239,761,184,64,260,7222,5,3685,202
10/01/1969,All Others,1276,,,,,,,,,,
10/01/1969,Single Detached,334,,,,,,,,,,
11/01/1969,All Others,1336,,,,,,,,,,
11/01/1969,Single Detached,452,,,,,,,,,,
11/01/1969,Total,1788,1104,12555,569,128,55,172,4613,13,3767,346
12/01/1969,All Others,1030,,,,,,,,,,
12/01/1969,Total,1508,1493,11617,215,167,47,208,4244,5,3540,190
12/01/1969,Single Detached,478,,,,,,,,,,
01/01/1970,All Others,494,,,,,,,,,,
01/01/1970,Single Detached,243,,,,,,,,,,
01/01/1970,Total,737,1505,6849,507,35,24,168,1898,8,1949,18
02/01/1970,Total,902,1177,5153,311,16,26,176,1006,2,1522,15
02/01/1970,Single Detached,287,,,,,,,,,,
02/01/1970,All Others,615,,,,,,,,,,
03/01/1970,Total,740,1591,7345,515,72,15,81,2742,0,1564,25
03/01/1970,All Others,462,,,,,,,,,,
03/01/1970,Single Detached,278,,,,,,,,,,
04/01/1970,All Others,438,,,,,,,,,,
04/01/1970,Single Detached,426,,,,,,,,,,
04/01/1970,Total,864,1207,9925,266,84,88,433,4225,1,2731,26
05/01/1970,Single Detached,501,,,,,,,,,,
05/01/1970,Total,861,792,8414,512,95,58,122,4271,4,1675,24
05/01/1970,All Others,360,,,,,,,,,,
06/01/1970,Total,1306,627,11585,975,93,76,520,5472,15,2474,27
06/01/1970,Single Detached,475,,,,,,,,,,
06/01/1970,All Others,831,,,,,,,,,,
07/01/1970,Total,949,1164,13873,747,172,30,144,7102,59,3462,44
07/01/1970,All Others,512,,,,,,,,,,
07/01/1970,Single Detached,437,,,,,,,,,,
08/01/1970,Total,1057,1440,13765,427,169,41,169,7573,17,2794,78
08/01/1970,All Others,629,,,,,,,,,,
08/01/1970,Single Detached,428,,,,,,,,,,
09/01/1970,All Others,424,,,,,,,,,,
09/01/1970,Single Detached,476,,,,,,,,,,
09/01/1970,Total,900,1755,14627,242,120,42,169,6635,7,4593,164
10/01/1970,Total,1901,2022,23161,1105,161,126,188,11073,6,6366,213
10/01/1970,Single Detached,578,,,,,,,,,,
10/01/1970,All Others,1323,,,,,,,,,,
11/01/1970,Total,1982,1699,19787,461,175,74,622,8461,27,6135,151
11/01/1970,Single Detached,591,,,,,,,,,,
11/01/1970,All Others,1391,,,,,,,,,,
12/01/1970,Single Detached,450,,,,,,,,,,
12/01/1970,All Others,1444,,,,,,,,,,
12/01/1970,Total,1894,2263,16515,817,249,207,65,6039,75,4776,130
01/01/1971,Total,843,1264,7847,399,264,43,73,3189,2,1735,35
01/01/1971,Single Detached,219,,,,,,,,,,
01/01/1971,All Others,624,,,,,,,,,,
02/01/1971,All Others,1007,,,,,,,,,,
02/01/1971,Single Detached,398,,,,,,,,,,
02/01/1971,Total,1405,1391,6895,437,37,111,157,1543,1,1783,30
03/01/1971,Total,1197,1729,9204,471,51,165,93,2536,0,2901,61
03/01/1971,Single Detached,446,,,,,,,,,,
03/01/1971,All Others,751,,,,,,,,,,
04/01/1971,All Others,1811,,,,,,,,,,
04/01/1971,Single Detached,560,,,,,,,,,,
04/01/1971,Total,2371,1693,16597,757,183,246,160,7367,4,3749,67
05/01/1971,Single Detached,756,,,,,,,,,,
05/01/1971,All Others,1306,,,,,,,,,,
05/01/1971,Total,2062,1276,15180,365,235,104,229,7809,7,2949,144
06/01/1971,Total,1978,1790,18248,1044,382,72,393,7946,24,4445,174
06/01/1971,All Others,1158,,,,,,,,,,
06/01/1971,Single Detached,820,,,,,,,,,,
07/01/1971,Total,2077,2349,17731,831,397,111,285,7558,6,3876,241
07/01/1971,All Others,1338,,,,,,,,,,
07/01/1971,Single Detached,739,,,,,,,,,,
08/01/1971,Total,2178,1518,17655,857,186,100,249,9671,6,2483,407
08/01/1971,Single Detached,641,,,,,,,,,,
08/01/1971,All Others,1537,,,,,,,,,,
09/01/1971,Total,2671,2200,18321,901,296,98,475,7536,12,3917,215
09/01/1971,All Others,2097,,,,,,,,,,
09/01/1971,Single Detached,574,,,,,,,,,,
10/01/1971,Total,1884,1856,19331,870,271,109,412,8113,10,5306,500
10/01/1971,All Others,1282,,,,,,,,,,
10/01/1971,Single Detached,602,,,,,,,,,,
11/01/1971,All Others,877,,,,,,,,,,
11/01/1971,Total,1707,1768,18932,666,254,58,200,8893,22,5058,306
11/01/1971,Single Detached,830,,,,,,,,,,
12/01/1971,Single Detached,776,,,,,,,,,,
12/01/1971,All Others,557,,,,,,,,,,
12/01/1971,Total,1333,1914,15007,621,133,178,434,6315,21,3914,144
01/01/1972,All Others,244,,,,,,,,,,
01/01/1972,Total,665,836,9423,791,95,120,184,4023,6,2485,218
01/01/1972,Single Detached,421,,,,,,,,,,
02/01/1972,Single Detached,612,,,,,,,,,,
02/01/1972,All Others,648,,,,,,,,,,
02/01/1972,Total,1260,1957,10735,945,67,99,371,3140,4,2781,111
03/01/1972,Single Detached,709,,,,,,,,,,
03/01/1972,All Others,735,,,,,,,,,,
03/01/1972,Total,1444,2147,13565,1781,36,51,136,4669,0,3187,114
04/01/1972,All Others,749,,,,,,,,,,
04/01/1972,Single Detached,953,,,,,,,,,,
04/01/1972,Total,1702,2604,15493,644,212,256,96,6341,5,3428,205
05/01/1972,All Others,1516,,,,,,,,,,
05/01/1972,Total,2507,1883,20746,849,401,219,284,10494,41,3854,214
05/01/1972,Single Detached,991,,,,,,,,,,
06/01/1972,All Others,1578,,,,,,,,,,
06/01/1972,Single Detached,983,,,,,,,,,,
06/01/1972,Total,2561,2494,21862,726,585,149,594,10721,47,3703,282
07/01/1972,Total,1484,2547,19564,779,414,254,218,9771,24,3712,361
07/01/1972,Single Detached,894,,,,,,,,,,
07/01/1972,All Others,590,,,,,,,,,,
08/01/1972,Total,1730,3009,19082,661,449,184,269,8987,35,3193,565
08/01/1972,Single Detached,832,,,,,,,,,,
08/01/1972,All Others,898,,,,,,,,,,
09/01/1972,All Others,778,,,,,,,,,,
09/01/1972,Single Detached,735,,,,,,,,,,
09/01/1972,Total,1513,2563,20905,546,586,143,285,10223,121,4640,285
10/01/1972,All Others,509,,,,,,,,,,
10/01/1972,Single Detached,707,,,,,,,,,,
10/01/1972,Total,1216,2541,22592,751,553,140,314,10046,31,6750,250
11/01/1972,Total,1360,2546,18976,1098,333,75,453,7436,32,5357,286
11/01/1972,All Others,488,,,,,,,,,,
11/01/1972,Single Detached,872,,,,,,,,,,
12/01/1972,All Others,266,,,,,,,,,,
12/01/1972,Total,921,2705,14011,337,188,58,239,5263,27,4019,254
12/01/1972,Single Detached,655,,,,,,,,,,
01/01/1973,Total,1071,1147,11187,225,119,84,306,5186,16,2893,140
01/01/1973,All Others,384,,,,,,,,,,
01/01/1973,Single Detached,687,,,,,,,,,,
02/01/1973,All Others,263,,,,,,,,,,
02/01/1973,Total,793,1322,8880,191,68,25,637,3676,0,1877,291
02/01/1973,Single Detached,530,,,,,,,,,,
03/01/1973,Total,1339,1536,13300,621,59,55,184,5903,9,3324,270
03/01/1973,All Others,499,,,,,,,,,,
03/01/1973,Single Detached,840,,,,,,,,,,
04/01/1973,Single Detached,1078,,,,,,,,,,
04/01/1973,All Others,527,,,,,,,,,,
04/01/1973,Total,1605,2843,18456,971,165,258,878,7519,7,3876,334
05/01/1973,All Others,481,,,,,,,,,,
05/01/1973,Single Detached,1101,,,,,,,,,,
05/01/1973,Total,1582,3090,19453,566,420,210,419,8418,49,4161,538
06/01/1973,Total,1849,2568,20946,1333,486,208,619,9337,37,4250,259
06/01/1973,Single Detached,1135,,,,,,,,,,
06/01/1973,All Others,714,,,,,,,,,,
07/01/1973,Single Detached,811,,,,,,,,,,
07/01/1973,All Others,691,,,,,,,,,,
07/01/1973,Total,1502,2892,22417,1366,534,219,119,11666,26,3606,487
08/01/1973,Single Detached,826,,,,,,,,,,
08/01/1973,Total,1598,3200,19622,398,705,266,724,8333,62,3993,343
08/01/1973,All Others,772,,,,,,,,,,
09/01/1973,All Others,629,,,,,,,,,,
09/01/1973,Total,1418,2291,19879,1096,465,428,492,9112,20,4188,369
09/01/1973,Single Detached,789,,,,,,,,,,
10/01/1973,All Others,528,,,,,,,,,,
10/01/1973,Total,1586,1814,22069,759,365,181,430,8851,7,7696,380
10/01/1973,Single Detached,1058,,,,,,,,,,
11/01/1973,All Others,515,,,,,,,,,,
11/01/1973,Single Detached,973,,,,,,,,,,
11/01/1973,Total,1488,2079,18079,572,408,172,323,7727,36,4892,382
12/01/1973,Total,1206,3908,17255,340,159,84,394,6483,26,4413,242
12/01/1973,All Others,326,,,,,,,,,,
12/01/1973,Single Detached,880,,,,,,,,,,
01/01/1974,Single Detached,755,,,,,,,,,,
01/01/1974,All Others,419,,,,,,,,,,
01/01/1974,Total,1174,1295,13506,701,114,59,489,6212,17,3122,323
02/01/1974,Single Detached,750,,,,,,,,,,
02/01/1974,All Others,294,,,,,,,,,,
02/01/1974,Total,1044,1585,9029,347,18,125,162,3495,0,2022,231
03/01/1974,Single Detached,1034,,,,,,,,,,
03/01/1974,Total,1213,2348,13291,552,54,65,122,5844,1,2868,224
03/01/1974,All Others,179,,,,,,,,,,
04/01/1974,All Others,400,,,,,,,,,,
04/01/1974,Total,1648,2643,15782,534,91,151,238,7226,97,2990,164
04/01/1974,Single Detached,1248,,,,,,,,,,
05/01/1974,Total,1365,3313,19880,637,352,347,287,7462,32,5772,313
05/01/1974,All Others,317,,,,,,,,,,
05/01/1974,Single Detached,1048,,,,,,,,,,
06/01/1974,Total,1904,2353,19528,1021,356,319,389,9568,28,3111,479
06/01/1974,All Others,581,,,,,,,,,,
06/01/1974,Single Detached,1323,,,,,,,,,,
07/01/1974,All Others,239,,,,,,,,,,
07/01/1974,Total,1165,2173,16095,590,540,262,660,6473,21,3638,573
07/01/1974,Single Detached,926,,,,,,,,,,
08/01/1974,Single Detached,561,,,,,,,,,,
08/01/1974,Total,674,1446,14857,632,664,336,300,6731,11,3659,404
08/01/1974,All Others,113,,,,,,,,,,
09/01/1974,All Others,502,,,,,,,,,,
09/01/1974,Total,1046,2100,13628,299,225,137,346,5245,12,3704,514
09/01/1974,Single Detached,544,,,,,,,,,,
10/01/1974,Total,850,2093,12994,256,178,176,618,5235,7,2992,589
10/01/1974,Single Detached,628,,,,,,,,,,
10/01/1974,All Others,222,,,,,,,,,,
11/01/1974,Single Detached,733,,,,,,,,,,
11/01/1974,Total,1314,935,11489,391,458,153,314,4188,14,3211,511
11/01/1974,All Others,581,,,,,,,,,,
12/01/1974,Single Detached,512,,,,,,,,,,
12/01/1974,All Others,292,,,,,,,,,,
12/01/1974,Total,804,1331,9358,168,143,122,356,3840,4,2285,305
01/01/1975,All Others,182,,,,,,,,,,
01/01/1975,Single Detached,505,,,,,,,,,,
01/01/1975,Total,687,1352,7133,249,53,134,154,2653,17,1652,182
02/01/1975,Single Detached,354,,,,,,,,,,
02/01/1975,Total,671,930,4973,118,17,28,87,1656,0,1369,97
02/01/1975,All Others,317,,,,,,,,,,
03/01/1975,Total,813,1168,6261,78,64,73,230,2260,0,1453,122
03/01/1975,Single Detached,571,,,,,,,,,,
03/01/1975,All Others,242,,,,,,,,,,
04/01/1975,All Others,275,,,,,,,,,,
04/01/1975,Single Detached,810,,,,,,,,,,
04/01/1975,Total,1085,1955,11929,303,217,90,375,4900,20,2703,281
