"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1977","Edmonton, Alberta","2011S0503835","Rate","257","units ","0","v733356","4","0.1","","","","1"
"1977","Greater Sudbury, Ontario","2011S0503580","Rate","257","units ","0","v733346","21","1.2","","","","1"
"1977","Halifax, Nova Scotia","2011S0503205","Rate","257","units ","0","v733357","5","1.5","","","","1"
"1977","Hamilton, Ontario","2011S0503537","Rate","257","units ","0","v733358","6","4.2","","","","1"
"1977","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Rate","257","units ","0","v733359","7","2.6","","","","1"
"1977","London, Ontario","2011S0503555","Rate","257","units ","0","v733360","8","1.8","","","","1"
"1977","Montréal excluding Saint-Jérôme, Quebec","","Rate","257","units ","0","v733361","29","3.6","","","t","1"
"1977","Oshawa, Ontario","2011S0503532","Rate","257","units ","0","v733362","10","2.3","","","","1"
"1977","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Rate","257","units ","0","v733336","11","2.2","","","","1"
"1977","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Rate","257","units ","0","v733337","12","1.3","","","","1"
"1977","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2011S050524505","Rate","257","units ","0","v733338","13","6.7","","","","1"
"1977","Québec, Quebec","2011S0503421","Rate","257","units ","0","v733339","14","1.9","","","","1"
"1977","Regina, Saskatchewan","2011S0503705","Rate","257","units ","0","v733340","15","1.1","","","","1"
"1977","St. Catharines-Niagara, Ontario","2011S0503539","Rate","257","units ","0","v733341","16","1.1","","","","1"
"1977","St. John's, Newfoundland and Labrador","2011S0503001","Rate","257","units ","0","v733343","18","2.8","","","","1"
"1977","Saguenay, Quebec","2011S0503408","Rate","257","units ","0","v733348","3","0.3","","","","1"
"1977","Saint John, New Brunswick","2011S0503310","Rate","257","units ","0","v733342","17","8.3","","","","1"
"1977","Saskatoon, Saskatchewan","2011S0503725","Rate","257","units ","0","v733344","19","0.2","","","","1"
"1977","Thunder Bay, Ontario","2011S0503595","Rate","257","units ","0","v733347","22","0.3","","","","1"
"1977","Toronto, Ontario","2011S0503535","Rate","257","units ","0","v733349","23","1.0","","","","1"
"1977","Vancouver, British Columbia","2011S0503933","Rate","257","units ","0","v733351","25","1.6","","","","1"
"1977","Victoria, British Columbia","2011S0503935","Rate","257","units ","0","v733352","26","2.5","","","","1"
"1977","Windsor, Ontario","2011S0503559","Rate","257","units ","0","v733353","27","0.8","","","","1"
"1977","Winnipeg, Manitoba","2011S0503602","Rate","257","units ","0","v733354","28","1.9","","","","1"
"1978","Census metropolitan areas","","Rate","257","units ","0","v733334","1","3.2","","","","1"
"1978","Calgary, Alberta","2011S0503825","Rate","257","units ","0","v733335","2","1.2","","","","1"
"1978","Edmonton, Alberta","2011S0503835","Rate","257","units ","0","v733356","4","0.8","","","","1"
"1978","Greater Sudbury, Ontario","2011S0503580","Rate","257","units ","0","v733346","21","7.0","","","","1"
"1978","Halifax, Nova Scotia","2011S0503205","Rate","257","units ","0","v733357","5","2.2","","","","1"
"1978","Hamilton, Ontario","2011S0503537","Rate","257","units ","0","v733358","6","3.5","","","","1"
"1978","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Rate","257","units ","0","v733359","7","2.6","","","","1"
"1978","London, Ontario","2011S0503555","Rate","257","units ","0","v733360","8","2.3","","","","1"
"1978","Montréal excluding Saint-Jérôme, Quebec","","Rate","257","units ","0","v733361","29","5.5","","","t","1"
"1978","Oshawa, Ontario","2011S0503532","Rate","257","units ","0","v733362","10","1.6","","","","1"
"1978","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Rate","257","units ","0","v733336","11","2.4","","","","1"
"1978","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Rate","257","units ","0","v733337","12","1.5","","","","1"
"1978","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2011S050524505","Rate","257","units ","0","v733338","13","6.7","","","","1"
"1978","Québec, Quebec","2011S0503421","Rate","257","units ","0","v733339","14","3.6","","","","1"
"1978","Regina, Saskatchewan","2011S0503705","Rate","257","units ","0","v733340","15","2.0","","","","1"
"1978","St. Catharines-Niagara, Ontario","2011S0503539","Rate","257","units ","0","v733341","16","1.4","","","","1"
"1978","St. John's, Newfoundland and Labrador","2011S0503001","Rate","257","units ","0","v733343","18","7.7","","","","1"
"1978","Saguenay, Quebec","2011S0503408","Rate","257","units ","0","v733348","3","0.4","","","","1"
"1978","Saint John, New Brunswick","2011S0503310","Rate","257","units ","0","v733342","17","5.4","","","","1"
"1978","Saskatoon, Saskatchewan","2011S0503725","Rate","257","units ","0","v733344","19","0.8","","","","1"
"1978","Thunder Bay, Ontario","2011S0503595","Rate","257","units ","0","v733347","22","1.4","","","","1"
"1978","Toronto, Ontario","2011S0503535","Rate","257","units ","0","v733349","23","0.8","","","","1"
"1978","Vancouver, British Columbia","2011S0503933","Rate","257","units ","0","v733351","25","1.4","","","","1"
"1978","Victoria, British Columbia","2011S0503935","Rate","257","units ","0","v733352","26","1.1","","","","1"
"1978","Windsor, Ontario","2011S0503559","Rate","257","units ","0","v733353","27","1.1","","","","1"
"1978","Winnipeg, Manitoba","2011S0503602","Rate","257","units ","0","v733354","28","3.9","","","","1"
"1979","Census metropolitan areas","","Rate","257","units ","0","v733334","1","2.9","","","","1"
"1979","Calgary, Alberta","2011S0503825","Rate","257","units ","0","v733335","2","0.4","","","","1"
"1979","Edmonton, Alberta","2011S0503835","Rate","257","units ","0","v733356","4","1.9","","","","1"
"1979","Greater Sudbury, Ontario","2011S0503580","Rate","257","units ","0","v733346","21","5.6","","","","1"
"1979","Halifax, Nova Scotia","2011S0503205","Rate","257","units ","0","v733357","5","2.4","","","","1"
"1979","Hamilton, Ontario","2011S0503537","Rate","257","units ","0","v733358","6","1.8","","","","1"
"1979","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Rate","257","units ","0","v733359","7","1.9","","","","1"
"1979","London, Ontario","2011S0503555","Rate","257","units ","0","v733360","8","4.7","","","","1"
"1979","Montréal excluding Saint-Jérôme, Quebec","","Rate","257","units ","0","v733361","29","4.5","","","t","1"
"1979","Oshawa, Ontario","2011S0503532","Rate","257","units ","0","v733362","10","4.1","","","","1"
"1979","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Rate","257","units ","0","v733336","11","4.1","","","","1"
"1979","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Rate","257","units ","0","v733337","12","3.5","","","","1"
"1979","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2011S050524505","Rate","257","units ","0","v733338","13","7.0","","","","1"
"1979","Québec, Quebec","2011S0503421","Rate","257","units ","0","v733339","14","4.4","","","","1"
"1979","Regina, Saskatchewan","2011S0503705","Rate","257","units ","0","v733340","15","1.9","","","","1"
"1979","St. Catharines-Niagara, Ontario","2011S0503539","Rate","257","units ","0","v733341","16","1.6","","","","1"
"1979","St. John's, Newfoundland and Labrador","2011S0503001","Rate","257","units ","0","v733343","18","0.9","","","","1"
"1979","Saguenay, Quebec","2011S0503408","Rate","257","units ","0","v733348","3","2.3","","","","1"
"1979","Saint John, New Brunswick","2011S0503310","Rate","257","units ","0","v733342","17","3.7","","","","1"
"1979","Saskatoon, Saskatchewan","2011S0503725","Rate","257","units ","0","v733344","19","0.8","","","","1"
"1979","Thunder Bay, Ontario","2011S0503595","Rate","257","units ","0","v733347","22","1.7","","","","1"
"1979","Toronto, Ontario","2011S0503535","Rate","257","units ","0","v733349","23","1.2","","","","1"
"1979","Vancouver, British Columbia","2011S0503933","Rate","257","units ","0","v733351","25","0.2","","","","1"
"1979","Victoria, British Columbia","2011S0503935","Rate","257","units ","0","v733352","26","0.1","","","","1"
"1979","Windsor, Ontario","2011S0503559","Rate","257","units ","0","v733353","27","1.3","","","","1"
"1979","Winnipeg, Manitoba","2011S0503602","Rate","257","units ","0","v733354","28","5.0","","","","1"
"1980","Census metropolitan areas","","Rate","257","units ","0","v733334","1","2.2","","","","1"
"1980","Calgary, Alberta","2011S0503825","Rate","257","units ","0","v733335","2","0.4","","","","1"
"1980","Edmonton, Alberta","2011S0503835","Rate","257","units ","0","v733356","4","1.1","","","","1"
"1980","Greater Sudbury, Ontario","2011S0503580","Rate","257","units ","0","v733346","21","1.9","","","","1"
"1980","Halifax, Nova Scotia","2011S0503205","Rate","257","units ","0","v733357","5","1.2","","","","1"
"1980","Hamilton, Ontario","2011S0503537","Rate","257","units ","0","v733358","6","1.3","","","","1"
"1980","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Rate","257","units ","0","v733359","7","1.1","","","","1"
"1980","London, Ontario","2011S0503555","Rate","257","units ","0","v733360","8","4.1","","","","1"
"1980","Montréal excluding Saint-Jérôme, Quebec","","Rate","257","units ","0","v733361","29","3.4","","","t","1"
"1980","Oshawa, Ontario","2011S0503532","Rate","257","units ","0","v733362","10","2.4","","","","1"
"1980","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Rate","257","units ","0","v733336","11","3.9","","","","1"
"1980","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Rate","257","units ","0","v733337","12","3.5","","","","1"
"1980","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2011S050524505","Rate","257","units ","0","v733338","13","5.8","","","","1"
"1980","Québec, Quebec","2011S0503421","Rate","257","units ","0","v733339","14","2.8","","","","1"
"1980","Regina, Saskatchewan","2011S0503705","Rate","257","units ","0","v733340","15","0.7","","","","1"
"1980","St. Catharines-Niagara, Ontario","2011S0503539","Rate","257","units ","0","v733341","16","1.8","","","","1"
"1980","St. John's, Newfoundland and Labrador","2011S0503001","Rate","257","units ","0","v733343","18","0.1","","","","1"
"1980","Saguenay, Quebec","2011S0503408","Rate","257","units ","0","v733348","3","1.4","","","","1"
"1980","Saint John, New Brunswick","2011S0503310","Rate","257","units ","0","v733342","17","3.6","","","","1"
"1980","Saskatoon, Saskatchewan","2011S0503725","Rate","257","units ","0","v733344","19","0.5","","","","1"
"1980","Thunder Bay, Ontario","2011S0503595","Rate","257","units ","0","v733347","22","1.0","","","","1"
